,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
7635,14.1877,4823.25,37.51,0.15
499,11.9719,4683.47,33.03,-0.24
7402,10.1596,3947.54,31.56,-0.33
7203,6.87508,1280.57,25.8,-0.03
7592,9.63729,3196.43,27.37,0.31
812,24.611,4985.82,14.44,-0.4
2251,17.8385,4986.09,14.86,-0.5
2879,12.0876,4600.22,25.78,-0.1
5157,4.0695,287.208,35.14,0.45
7485,14.1712,4983.05,11.29,0.15
4010,21.9994,4986.94,6.18,-0.18
5844,3.83632,228.738,33.41,0.47
1650,10.8381,4332.85,11.16,0.43
1206,3.94136,228.161,35.59,-0.02
1352,6.96885,1285.24,23.63,0.45
1541,5.26421,567.006,31.01,-0.1
5914,10.2342,3683.65,30.73,0.09
4172,7.73507,1698.17,6.06,-0.18
7467,21.4544,4979.35,25.62,0.07
4390,8.54666,2762.28,15.06,-0.48
3392,8.46695,2393.81,30.41,0.35
963,6.85323,1489.16,42.1,0.19
81,8.86114,2493.49,16.32,0.31
3270,10.7337,3995.62,28.21,-0.03
4798,11.9847,4677.76,18.39,0.08
4601,13.3349,4892.61,23.64,0.36
3205,8.28894,1992.93,5.7,-0.02
7618,8.70454,3001.38,20.59,-0.49
5220,9.25098,3199.3,24.47,-0.3
7130,15.8889,4934.66,28.38,0.26
1189,12.4491,4439.2,39.24,0.11
2313,21.0658,4939.98,36.9,-0.35
5152,17.7526,4911.43,39.12,-0.37
7984,3.85477,206.184,35.1,0.13
7602,10.1631,3431.21,41.09,0.16
5998,10.3659,3872.76,32.22,0.21
5376,24.3612,4946.52,30.49,0.16
760,18.0187,4766.82,39.02,0.29
7935,10.1067,3621.92,21.12,0.14
5123,11.0042,4393.24,27.9,-0.37
1603,15.278,4980.97,14.44,0.44
3671,19.2535,4976.27,24.66,0.02
2503,11.0831,4370.64,12.34,0.35
7994,17.1787,4983.21,24.37,-0.1
7344,21.061,4835.03,40.88,0.0
6918,15.8284,4939.1,29.72,-0.03
2454,8.43367,2718.37,34.26,-0.43
